Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty,Year_Range
2377,177173,10683/14558,Tenor trombone,Trombones,Wind,1902,1912,1,Unknown,Unknown,2,10
2378,177174,10683/14558,Tenor trombone,Trombones,Wind,1927,1927,0,England,London,0,0
2379,177204,10683/14558,Tuba,Tubas,Wind,0,0,2,England,London,0,0
2380,177205,10683/14558,Clarinet,Clarinets,Wind,1900,1950,1,Germany,Unknown,0,50
2381,177272,10683/14558,Sopranino recorder,Flutes,Wind,1961,1971,1,England,Haslemere,0,10
2382,177273,10683/14558,Treble recorder,Flutes,Wind,1963,1973,1,England,Haslemere,0,10
2383,177274,10683/14558,Descant recorder,Flutes,Wind,1950,1960,1,Unknown,Unknown,0,10
2384,177275,10683/14558,Post horn,Horns,Wind,1895,1900,1,France,Paris,0,5
2385,177277,10683/14558,Transverse flute,Flutes,Wind,1866,1900,1,Unknown,Unknown,2,34
2386,177278,10683/14558,Cornet,Cornets,Wind,1835,1845,1,France,Unknown,0,10
2387,177279,10683/14558,Viol,Viols,Strings,0,0,2,Unknown,Unknown,2,0
2388,177280,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1833,1867,1,France,Paris,0,34
2389,177281,10683/14558,Cornet,Cornets,Wind,0,0,2,France,Paris,0,0
2390,177282,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
2391,177284,10683/14558,Valve trumpet,Trumpets,Wind,1919,1919,0,England,London,0,0
2392,177285,10683/14558,Bagpipe,Bagpipes,Wind,1824,1824,0,England,North Shields,0,0
2393,177286,10683/14558,Bagpipe,Bagpipes,Wind,1815,1860,1,Scotland,Unknown,0,45
2394,177287,10683/14558,Bagpipe,Bagpipes,Wind,1831,1841,1,Unknown,Unknown,1,10
2395,177288,10683/14558,Bagpipe,Bagpipes,Wind,0,0,2,Scotland,Dundee,0,0
2396,177289,10683/14558,Tenor trombone,Trombones,Wind,1930,1940,1,Germany,Unknown,0,10
2397,177290,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,England,London,0,0
2398,177291,10683/14558,Tenor trombone,Trombones,Wind,1901,2000,1,Unknown,Unknown,1,99
2399,177293,10683/14558,Clarinet,Clarinets,Wind,1733,1767,1,Unknown,Unknown,2,34
2400,177294,10683/14558,Ballad horn,Saxhorns,Wind,1862,1862,0,England,London,0,0
2401,177295,10683/14558,Valve horn,Horns,Wind,1895,1905,1,Unknown,Unknown,0,10
